,id,parent_statement_code,results,del_by_models,state,create_user,create_time,modify_user,modify_time,del_stat
0,1667,1095110110000006,"{乘客=[援助者, 志愿者], 其他服务提供者=[精神抚慰者, 导师, 培训师, 营养师, 社会工作者, 信息提供者, 法律援助者, 情感支持者], 就诊患者=[康复治疗师, 照护者, 理疗师, 健康指导员, 心理咨询师, 护理人员], 顾客=[陪护者, 保育员, 服务员, 家政工]}","[文化传承者, 生活辅导员, 康复治疗师, 传授者, 接待员, 保育员, 援助者, 服务员, 导师, 培训师, 营养师, 社会工作者, 护理人员, 陪护者, 健身教练, 法律援助者, 教育者, 向导, 照护者, 教练, 专业顾问, 精神抚慰者, 理疗师, 咨询者, 健康指导员, 心理咨询师, 信息提供者, 志愿者, 家政工, 情感支持者]",,system_user,2024-03-31 19:41:16,system_user,2024-03-31 19:41:16,0
1,1668,1095110120000007,"{other 1=[援助者, 供应人, 供应者, 给付者], other 2=[担保人, 调解员], 代理中介=[代理人, 协调者], 服务员=[提供者, 志愿者, 辅导者], 治疗医师=[救助者, 专家, 执行者, 施行者], 法律顾问=[顾问]}","[帮忙者, 侍者, 中介人, 实施者, 传授者, 提供者, 专家, 策划者, 援助者, 护理员, 供应人, 协调者, 顾问, 代理人, 调解员, 辅导者, 施行者, 贡献者, 救助者, 帮手, 教练, 师傅, 执行者, 组织者, 担保人, 供应者, 助手, 志愿者, 服务生, 给付者]",,system_user,2024-03-31 19:41:50,system_user,2024-03-31 19:41:50,0
2,1669,109511031000000c,"{other 1=[], 下属员工=[负责对象, 管理对象群], 被执行人员=[领导受众, 管理受众]}","[管理层面, 管理受众, 管理对象, 直接管辖, 负责人员, 领导层面, 管辖成员, 指挥个体, 负责对象, 领导受众, 直接下属, 管辖范畴, 管理层级, 负责对象群, 负责群体, 直接领导, 领导对象群, 领导全体, 管理对象群, 直接管理, 负责管理层, 管理群体, 管辖员工, 领导成员, 领导范畴, 管理范畴, 领导对象, 管理全体, 管理成员, 管辖人员, 负责个体]",,system_user,2024-03-31 19:42:39,system_user,2024-03-31 19:42:39,0
3,1670,1095110320000000,"{上级领导=[团长, 指挥官, 处长, 主导者, 行政主管, 首脑, 管理者, 负责人, 主持者, 理事, 理事长, 司长, 组织者, 领导, 科长, 部门主管, 统筹人, 决策者, 主管, 秘书长, 总监, 主任, 经营人], 其他管理角色=[调控者], 其他责任角色=[组织者, 经营人], 执法人员=[责任者, 权威人士, 队长, 支配者, 校长, 掌权者]}","[指挥官, 处长, 主导者, 首脑, 负责人, 责任者, 理事, 领导, 科长, 决策者, 支配者, 掌权者, 主管, 团长, 行政主管, 管理者, 主持者, 权威人士, 理事长, 司长, 组织者, 队长, 部门主管, 统筹人, 调控者, 校长, 秘书长, 总监, 主任, 经营人]",,system_user,2024-03-31 19:43:12,system_user,2024-03-31 19:43:12,0
4,1671,1095110430000004,"{合作伙伴=[协同者, 协同执行者, 相互支持者, 共同行动者]}","[合作代表, 共事者, 同事, 协作伙伴, 伙伴, 联合行动者, 合作成员, 互惠合作者, 配合同伴, 共同工作者, 相互支持者, 协作方, 合作执行者, 同行者, 共同行动者, 协同者, 协同执行者, 同人, 共同推进者, 协作代表, 联席执行者, 协作成员, 合作同人, 合作方, 协作同人, 共同参与者, 合作协同者, 协作者, 共同促进者, 合作方略]",,system_user,2024-03-31 19:43:34,system_user,2024-03-31 19:43:34,0
5,1672,1095110510000005,"{其他1=[演员导演, 启蒙者师傅, 武者教头, 徒弟师傅, 指引者舵手], 其他2=[谋士智囊], 学生学徒=[追随者导师, 学徒艺术指导, 学生教师, 门徒精神导师, 弟子师长, 学习者技能传授者, 研究生学术导师, 学员指导者, 创业生企业导师, 晚辈长者, 学员培训师, 选手教练]}","[教授研究生, 师长弟子, 导师门生, 追随者导师, 下属领导, 培训师学员, 演员导演, 健身教练会员, 导师追随者, 学徒艺术指导, 领导下属, 师傅启蒙者, 学生教师, 会员健身教练, 启蒙者师傅, 技能传授者学习者, 导演演员, 门徒精神导师, 教头武者, 老板学徒, 学习者技能传授者, 教师学生, 创业生企业导师, 学员培训师, 指挥士兵, 长者晚辈, 选手教练, 精神导师门徒, 指引者舵手, 咨询者生涯规划师, 学术导师研究生, 旅行者向导, 士兵指挥, 学徒老板, 教练选手, 企业导师创业生, 向导旅行者, 指导者学员, 顾问求助者, 弟子师长, 武者教头, 新手专家, 求助者顾问, 徒弟师傅, 生涯规划师咨询者, 谋士智囊, 学员指导者, 舵手指引者, 晚辈长者, 智囊谋士, 艺术指导学徒, 师傅徒弟, 研究生学术导师, 专家新手]",,system_user,2024-03-31 19:44:19,system_user,2024-03-31 19:44:19,0
6,1673,1095110520000006,"{指导教师=[导师, 向导, 引导者, 教练, 带领者, 启发者, 带路人, 引路人, 辅导者, 教师], 智慧支持=[智囊], 组织领导=[长辈, 组织者, 导航员, 领袖]}","[牵头人, 带领者, 专家, 策士, 牵头者, 负责人, 智囊, 长辈, 导师, 顾问, 指路人, 领路人, 辅导者, 教师, 领袖, 策划人, 向导, 引导者, 教练, 启发者, 带路人, 发端者, 组织者, 主管人, 导航员, 创立者, 先进, 引路人, 始创者, 开创者]",,system_user,2024-03-31 19:44:59,system_user,2024-03-31 19:44:59,0
7,1674,1095110730000000,"{伴侣关系=[伴侣], 夫妻=[婚配双方, 婚姻搭档, 结缘双方, 配对夫妻, 配偶搭档, 配偶双方, 婚姻伙伴, 夫妻配偶, 婚约双方, 成婚双方, 婚姻双方, 夫妻搭档, 夫妻伙伴, 夫妻双方], 姻亲=[联姻双方, 联姻对象], 婚姻当事人=[婚姻当事人]}","[婚配双方, 结亲双方, 结合双方, 结婚对象, 伉俪, 结缘双方, 配偶搭档, 配偶伙伴, 婚姻双方, 夫妻搭档, 配偶者, 夫妻伙伴, 联姻对象, 夫妻双方, 婚姻伴侣, 婚姻搭档, 配侣, 配偶, 婚配对象, 联姻双方, 配对夫妻, 婚姻伙伴, 配偶双方, 婚约双方, 成婚双方, 伴侣, 结婚双方, 婚姻对象, 夫妻配偶]",,system_user,2024-03-31 19:45:43,system_user,2024-03-31 19:45:43,0
8,1675,1095110810000001,"{other 1=[加入家庭的孩子, 养父母所养, 领养的孩子, 领养儿, 加入家庭者, 家庭子女], other 2=[收养的孩子, 收养儿子, 收养女儿, 收养子, 收养的女儿, 收养儿童, 收养孩子, 法定收养的孩子, 收养关系下的孩子, 收养对象, 收养关系中的子女], other 3=[养育子女, 抚育的孩子, 抚养的孩子, 养抚对象, 抚育对象, 抚养对象, 抚养子女, 抚养法定的孩子], 养子养女=[领养的孩子, 收养的儿子, 养父母所养, 收养子, 收养的女儿, 养育子女, 抚育的孩子, 抚养的孩子, 养抚对象, 收养孩子, 法律上认定的孩子, 抚育对象, 养父母之子, 抚养对象, 养子女, 关系下的子女, 法定收养的孩子, 收养关系下的孩子, 收养儿童, 抚养子女, 法定抚养的孩子, 领养子女, 领养的子女, 法定的子女, 法定子女, 领养儿, 加入家庭者, 抚养法定的孩子, 收养关系中的子女, 收养对象, 法律意义上的子女, 家庭子女]}","[加入家庭的孩子, 新接纳的家庭成员, 领养的孩子, 女儿, 养育的孩子, 家庭收养者, 养父母之女, 家庭新增成员, 新加入的家庭孩子, 家庭抚育的孩子, 法定的孩子, 收养法定的孩子, 抚养的子女, 关系中的子女, 养父母所养, 收养子, 待收养者, 家庭新子女, 收养的女儿, 待领养者, 抚育的孩子, 养育子女, 养抚对象, 收养孩子, 家庭成员, 法定收养的孩子, 家庭抚养者, 收养儿童, 领养的子女, 法定子女, 父母的孩子, 法定的子女, 领养儿, 加入家庭者, 抚养法定的孩子, 法律意义上的子女, 家庭子女, 养父母的孩子, 领养对象, 领养的儿子, 收养子女, 家庭新成员, 收养的儿子, 领养父母的孩子, 新家庭成员, 法律子女, 收养的孩子, 法律上的孩子, 子女, 儿子, 抚养的孩子, 法律上认定的孩子, 抚育对象, 养父母之子, 抚养对象, 养子女, 关系下的子女, 收养关系下的孩子, 抚养子女, 法定抚养的孩子, 领养子女, 收养关系中的子女, 收养对象, 新加入的家庭成员]",,system_user,2024-03-31 19:46:55,system_user,2024-03-31 19:46:55,0
9,1676,1095110820000002,"{养父养母=[领养父母, 养育父母, 收养父母, 抚育父母], 领养相关主体=[领养家庭, 领养主体, 收留主体, 法定收养者, 收养者, 教养者, 抚育者, 抚养人, 领养人, 领养方, 法律收养人]}","[养育主体, 领养父母, 收容主体, 教养人, 领养主体, 领养方, 抚育主体, 收容者, 收养者, 收养家庭, 养育人, 抚育人, 抚育父母, 养育者, 领养人, 法律收养人, 领养家庭, 收留主体, 养育父母, 抚育家庭, 法定收养者, 养育家庭, 收留者, 收养父母, 教养者, 收养主体, 抚养主体, 抚育者, 抚养人]",,system_user,2024-03-31 19:47:24,system_user,2024-03-31 19:47:24,0
